ID,Nombre,Fecha,Costo
93,Producto C,2024-04-03,200.00
94,Producto D,2024-04-04,250.00
95,Producto E,2024-04-05,300.00
96,Producto F,2024-04-06,350.00
97,Producto G,2024-04-07,400.00
98,Producto H,2024-04-08,450.00
99,Producto I,2024-04-09,500.00
100,Producto J,2024-04-10,550.00
ID,Nombre,Fecha,Costo
101,Producto A,2024-04-11,100.00
102,Producto B,2024-04-12,150.00
103,Producto C,2024-04-13,200.00
104,Producto D,2024-04-14,250.00
105,Producto E,2024-04-15,300.00
106,Producto F,2024-04-16,350.00
107,Producto G,2024-04-17,400.00
108,Producto H,2024-04-18,450.00
109,Producto I,2024-04-19,500.00
110,Producto J,2024-04-20,550.00
111,Producto A,2024-04-21,100.00
112,Producto B,2024-04-22,150.00
113,Producto C,2024-04-23,200.00
114,Producto D,2024-04-24,250.00
115,Producto E,2024-04-25,300.00
116,Producto F,2024-04-26,350.00
117,Producto G,2024-04-27,400.00
118,Producto H,2024-04-28,450.00
119,Producto I,2024-04-29,500.00
120,Producto J,2024-04-30,550.00
121,Producto A,2024-05-01,100.00
122,Producto B,2024-05-02,150.00
123,Producto C,2024-05-03,200.00
124,Producto D,2024-05-04,250.00
125,Producto E,2024-05-05,300.00
126,Producto F,2024-05-06,350.00
127,Producto G,2024-05-07,400.00
128,Producto H,2024-05-08,450.00
129,Producto I,2024-05-09,500.00
130,Producto J,2024-05-10,550.00
131,Producto A,2024-05-11,100.00
132,Producto B,2024-05-12,150.00
133,Producto C,2024-05-13,200.00
134,Producto D,2024-05-14,250.00
135,Producto E,2024-05-15,300.00
136,Producto F,2024-05-16,350.00
137,Producto G,2024-05-17,400.00
138,Producto H,2024-05-18,450.00
139,Producto I,2024-05-19,500.00
140,Producto J,2024-05-20,550.00
141,Producto A,2024-05-21,100.00
142,Producto B,2024-05-22,150.00
143,Producto C,2024-05-23,200.00
144,Producto D,2024-05-24,250.00
145,Producto E,2024-05-25,300.00
146,Producto F,2024-05-26,350.00
147,Producto G,2024-05-27,400.00
148,Producto H,2024-05-28,450.00
149,Producto I,2024-05-29,500.00
150,Producto J,2024-05-30,550.00
151,Producto A,2024-06-01,100.00
152,Producto B,2024-06-02,150.00
153,Producto C,2024-06-03,200.00
154,Producto D,2024-06-04,250.00
155,Producto E,2024-06-05,300.00
156,Producto F,2024-06-06,350.00
157,Producto G,2024-06-07,400.00
158,Producto H,2024-06-08,450.00
159,Producto I,2024-06-09,500.00
160,Producto J,2024-06-10,550.00
161,Producto A,2024-06-11,100.00
162,Producto B,2024-06-12,150.00
163,Producto C,2024-06-13,200.00
164,Producto D,2024-06-14,250.00
165,Producto E,2024-06-15,300.00
166,Producto F,2024-06-16,350.00
167,Producto G,2024-06-17,400.00
168,Producto H,2024-06-18,450.00
169,Producto I,2024-06-19,500.00
170,Producto J,2024-06-20,550.00
171,Producto A,2024-06-21,100.00
172,Producto B,2024-06-22,150.00
173,Producto C,2024-06-23,200.00
174,Producto D,2024-06-24,250.00
175,Producto E,2024-06-25,300.00
176,Producto F,2024-06-26,350.00
177,Producto G,2024-06-27,400.00
178,Producto H,2024-06-28,450.00
179,Producto I,2024-06-29,500.00
180,Producto J,2024-06-30,550.00
181,Producto A,2024-07-01,100.00
182,Producto B,2024-07-02,150.00
183,Producto C,2024-07-03,200.00
184,Producto D,2024-07-04,250.00
185,Producto E,2024-07-05,300.00
186,Producto F,2024-07-06,350.00
187,Producto G,2024-07-07,400.00
188,Producto H,2024-07-08,450.00
189,Producto I,2024-07-09,500.00
190,Producto J,2024-07-10,550.00
191,Producto A,2024-07-11,100.00
192,Producto B,2024-07-12,150.00
193,Producto C,2024-07-13,200.00
194,Producto D,2024-07-14,250.00
195,Producto E,2024-07-15,300.00
196,Producto F,2024-07-16,350.00
197,Producto G,2024-07-17,400.00
198,Producto H,2024-07-18,450.00
199,Producto I,2024-07-19,500.00
200,Producto J,2024-07-20,550.00
201,Producto A,2024-07-21,100.00
202,Producto B,2024-07-22,150.00
203,Producto C,2024-07-23,200.00
204,Producto D,2024-07-24,250.00
205,Producto E,2024-07-25,300.00
206,Producto F,2024-07-26,350.00
207,Producto G,2024-07-27,400.00
208,Producto H,2024-07-28,450.00
209,Producto I,2024-07-29,500.00
210,Producto J,2024-07-30,550.00
211,Producto A,2024-07-31,100.00
212,Producto B,2024-08-01,150.00
213,Producto C,2024-08-02,200.00
214,Producto D,2024-08-03,250.00
215,Producto E,2024-08-04,300.00
216,Producto F,2024-08-05,350.00
217,Producto G,2024-08-06,400.00
218,Producto H,2024-08-07,450.00
219,Producto I,2024-08-08,500.00
220,Producto J,2024-08-09,550.00
221,Producto A,2024-08-10,100.00
222,Producto B,2024-08-11,150.00
223,Producto C,2024-08-12,200.00
224,Producto D,2024-08-13,250.00
225,Producto E,2024-08-14,300.00
226,Producto F,2024-08-15,350.00
227,Producto G,2024-08-16,400.00
228,Producto H,2024-08-17,450.00
229,Producto I,2024-08-18,500.00
230,Producto J,2024-08-19,550.00
231,Producto A,2024-08-20,100.00
232,Producto B,2024-08-21,150.00
233,Producto C,2024-08-22,200.00
234,Producto D,2024-08-23,250.00
235,Producto E,2024-08-24,300.00
236,Producto F,2024-08-25,350.00
237,Producto G,2024-08-26,400.00
238,Producto H,2024-08-27,450.00
239,Producto I,2024-08-28,500.00
240,Producto J,2024-08-29,550.00
241,Producto A,2024-08-30,100.00
242,Producto B,2024-08-31,150.00
243,Producto C,2024-09-01,200.00
244,Producto D,2024-09-02,250.00
245,Producto E,2024-09-03,300.00
246,Producto F,2024-09-04,350.00
247,Producto G,2024-09-05,400.00
248,Producto H,2024-09-06,450.00
249,Producto I,2024-09-07,500.00
250,Producto J,2024-09-08,550.00
251,Producto A,2024-09-09,100.00
252,Producto B,2024-09-10,150.00
253,Producto C,2024-09-11,200.00
254,Producto D,2024-09-12,250.00
255,Producto E,2024-09-13,300.00
256,Producto F,2024-09-14,350.00
257,Producto G,2024-09-15,400.00
258,Producto H,2024-09-16,450.00
259,Producto I,2024-09-17,500.00
260,Producto J,2024-09-18,550.00
261,Producto A,2024-09-19,100.00
262,Producto B,2024-09-20,150.00
263,Producto C,2024-09-21,200.00
264,Producto D,2024-09-22,250.00
265,Producto E,2024-09-23,300.00
266,Producto F,2024-09-24,350.00
267,Producto G,2024-09-25,400.00
268,Producto H,2024-09-26,450.00
269,Producto I,2024-09-27,500.00
270,Producto J,2024-09-28,550.00
271,Producto A,2024-09-29,100.00
272,Producto B,2024-09-30,150.00
273,Producto C,2024-10-01,200.00
274,Producto D,2024-10-02,250.00
275,Producto E,2024-10-03,300.00
276,Producto F,2024-10-04,350.00
277,Producto G,2024-10-05,400.00
278,Producto H,2024-10-06,450.00
279,Producto I,2024-10-07,500.00
280,Producto J,2024-10-08,550.00
281,Producto A,2024-10-09,100.00
282,Producto B,2024-10-10,150.00
283,Producto C,2024-10-11,200.00
284,Producto D,2024-10-12,250.00
285,Producto E,2024-10-13,300.00
286,Producto F,2024-10-14,350.00
287,Producto G,2024-10-15,400.00
288,Producto H,2024-10-16,450.00
289,Producto I,2024-10-17,500.00
290,Producto J,2024-10-18,550.00
291,Producto A,2024-10-19,100.00
292,Producto B,2024-10-20,150.00
293,Producto C,2024-10-21,200.00
294,Producto D,2024-10-22,250.00
295,Producto E,2024-10-23,300.00
296,Producto F,2024-10-24,350.00
297,Producto G,2024-10-25,400.00
298,Producto H,2024-10-26,450.00
299,Producto I,2024-10-27,500.00
300,Producto J,2024-10-28,550.00
301,Producto A,2024-10-29,100.00
302,Producto B,2024-10-30,150.00
303,Producto C,2024-10-31,200.00
304,Producto D,2024-11-01,250.00
305,Producto E,2024-11-02,300.00
306,Producto F,2024-11-03,350.00
307,Producto G,2024-11-04,400.00
308,Producto H,2024-11-05,450.00
309,Producto I,2024-11-06,500.00
310,Producto J,2024-11-07,550.00
311,Producto A,2024-11-08,100.00
312,Producto B,2024-11-09,150.00
313,Producto C,2024-11-10,200.00
314,Producto D,2024-11-11,250.00
315,Producto E,2024-11-12,300.00
316,Producto F,2024-11-13,350.00
317,Producto G,2024-11-14,400.00
318,Producto H,2024-11-15,450.00
319,Producto I,2024-11-16,500.00
320,Producto J,2024-11-17,550.00
321,Producto A,2024-11-18,100.00
322,Producto B,2024-11-19,150.00
323,Producto C,2024-11-20,200.00
324,Producto D,2024-11-21,250.00
325,Producto E,2024-11-22,300.00
326,Producto F,2024-11-23,350.00
327,Producto G,2024-11-24,400.00
328,Producto H,2024-11-25,450.00
329,Producto I,2024-11-26,500.00
330,Producto J,2024-11-27,550.00
331,Producto A,2024-11-28,100.00
332,Producto B,2024-11-29,150.00
333,Producto C,2024-11-30,200.00
334,Producto D,2024-12-01,250.00
335,Producto E,2024-12-02,300.00
336,Producto F,2024-12-03,350.00
337,Producto G,2024-12-04,400.00
338,Producto H,2024-12-05,450.00
339,Producto I,2024-12-06,500.00
340,Producto J,2024-12-07,550.00
341,Producto A,2024-12-08,100.00
342,Producto B,2024-12-09,150.00
343,Producto C,2024-12-10,200.00
344,Producto D,2024-12-11,250.00
345,Producto E,2024-12-12,300.00
346,Producto F,2024-12-13,350.00
347,Producto G,2024-12-14,400.00
348,Producto H,2024-12-15,450.00
349,Producto I,2024-12-16,500.00
350,Producto J,2024-12-17,550.00
351,Producto A,2024-12-18,100.00
352,Producto B,2024-12-19,150.00
353,Producto C,2024-12-20,200.00
354,Producto D,2024-12-21,250.00
355,Producto E,2024-12-22,300.00
356,Producto F,2024-12-23,350.00
357,Producto G,2024-12-24,400.00
358,Producto H,2024-12-25,450.00
359,Producto I,2024-12-26,500.00
360,Producto J,2024-12-27,550.00
361,Producto A,2024-12-28,100.00
362,Producto B,2024-12-29,150.00
363,Producto C,2024-12-30,200.00
364,Producto D,2024-12-31,250.00
365,Producto E,2024-12-32,300.00
366,Producto F,2024-12-33,350.00
367,Producto G,2024-12-34,400.00
368,Producto H,2024-12-35,450.00
369,Producto I,2024-12-36,500.00
370,Producto J,2024-12-37,550.00
371,Producto A,2024-12-38,100.00
372,Producto B,2024-12-39,150.00
373,Producto C,2024-12-40,200.00
374,Producto D,2024-12-41,250.00
375,Producto E,2024-12-42,300.00
376,Producto F,2024-12-43,350.00
377,Producto G,2024-12-44,400.00
378,Producto H,2024-12-45,450.00
379,Producto I,2024-12-46,500.00
380,Producto J,2024-12-47,550.00
381,Producto A,2024-12-48,100.00
382,Producto B,2024-12-49,150.00
383,Producto C,2024-12-50,200.00
384,Producto D,2024-12-51,250.00
385,Producto E,2024-12-52,300.00
386,Producto F,2024-12-53,350.00
387,Producto G,2024-12-54,400.00
388,Producto H,2024-12-55,450.00
389,Producto I,2024-12-56,500.00
390,Producto J,2024-12-57,550.00
391,Producto A,2024-12-58,100.00
392,Producto B,2024-12-59,150.00
393,Producto C,2024-12-60,200.00
394,Producto D,2024-12-61,250.00
395,Producto E,2024-12-62,300.00
396,Producto F,2024-12-63,350.00
397,Producto G,2024-12-64,400.00
398,Producto H,2024-12-65,450.00
399,Producto I,2024-12-66,500.00
400,Producto J,2024-12-67,550.00
401,Producto A,2024-12-68,100.00
402,Producto B,2024-12-69,150.00
403,Producto C,2024-12-70,200.00
404,Producto D,2024-12-71,250.00
405,Producto E,2024-12-72,300.00
406,Producto F,2024-12-73,350.00
407,Producto G,2024-12-74,400.00
408,Producto H,2024-12-75,450.00
409,Producto I,2024-12-76,500.00
410,Producto J,2024-12-77,550.00
411,Producto A,2024-12-78,100.00
412,Producto B,2024-12-79,150.00
413,Producto C,2024-12-80,200.00
414,Producto D,2024-12-81,250.00
415,Producto E,2024-12-82,300.00
416,Producto F,2024-12-83,350.00
417,Producto G,2024-12-84,400.00
418,Producto H,2024-12-85,450.00
419,Producto I,2024-12-86,500.00
420,Producto J,2024-12-87,550.00
421,Producto A,2024-12-88,100.00
422,Producto B,2024-12-89,150.00
423,Producto C,2024-12-90,200.00
424,Producto D,2024-12-91,250.00
425,Producto E,2024-12-92,300.00
426,Producto F,2024-12-93,350.00
427,Producto G,2024-12-94,400.00
428,Producto H,2024-12-95,450.00
429,Producto I,2024-12-96,500.00
430,Producto J,2024-12-97,550.00
431,Producto A,2024-12-98,100.00
432,Producto B,2024-12-99,150.00
433,Producto C,2024-12-100,200.00
434,Producto D,2024-12-101,250.00
435,Producto E,2024-12-102,300.00
436,Producto F,2024-12-103,350.00
437,Producto G,2024-12-104,400.00
438,Producto H,2024-12-105,450.00
439,Producto I,2024-12-106,500.00
440,Producto J,2024-12-107,550.00
441,Producto A,2024-12-108,100.00
442,Producto B,2024-12-109,150.00
443,Producto C,2024-12-110,200.00
444,Producto D,2024-12-111,250.00
445,Producto E,2024-12-112,300.00
446,Producto F,2024-12-113,350.00
447,Producto G,2024-12-114,400.00
448,Producto H,2024-12-115,450.00
449,Producto I,2024-12-116,500.00
450,Producto J,2024-12-117,550.00
451,Producto A,2024-12-118,100.00
452,Producto B,2024-12-119,150.00
453,Producto C,2024-12-120,200.00
454,Producto D,2024-12-121,250.00
455,Producto E,2024-12-122,300.00
456,Producto F,2024-12-123,350.00
457,Producto G,2024-12-124,400.00
458,Producto H,2024-12-125,450.00
459,Producto I,2024-12-126,500.00
460,Producto J,2024-12-127,550.00
461,Producto A,2024-12-128,100.00
462,Producto B,2024-12-129,150.00
463,Producto C,2024-12-130,200.00
464,Producto D,2024-12-131,250.00
465,Producto E,2024-12-132,300.00
466,Producto F,2024-12-133,350.00
467,Producto G,2024-12-134,400.00
468,Producto H,2024-12-135,450.00
469,Producto I,2024-12-136,500.00
470,Producto J,2024-12-137,550.00
471,Producto A,2024-12-138,100.00
472,Producto B,2024-12-139,150.00
473,Producto C,2024-12-140,200.00
474,Producto D,2024-12-141,250.00
475,Producto E,2024-12-142,300.00
476,Producto F,2024-12-143,350.00
477,Producto G,2024-12-144,400.00
478,Producto H,2024-12-145,450.00
479,Producto I,2024-12-146,500.00
480,Producto J,2024-12-147,550.00
481,Producto A,2024-12-148,100.00
482,Producto B,2024-12-149,150.00
483,Producto C,2024-12-150,200.00
484,Producto D,2024-12-151,250.00
485,Producto E,2024-12-152,300.00
486,Producto F,2024-12-153,350.00
487,Producto G,2024-12-154,400.00
488,Producto H,2024-12-155,450.00
489,Producto I,2024-12-156,500.00
490,Producto J,2024-12-157,550.00
491,Producto A,2024-12-158,100.00
492,Producto B,2024-12-159,150.00
493,Producto C,2024-12-160,200.00
494,Producto D,2024-12-161,250.00
495,Producto E,2024-12-162,300.00
496,Producto F,2024-12-163,350.00
497,Producto G,2024-12-164,400.00
498,Producto H,2024-12-165,450.00
499,Producto I,2024-12-166,500.00
500,Producto J,2024-12-167,550.00
501,Producto A,2024-12-168,100.00
502,Producto B,2024-12-169,150.00
503,Producto C,2024-12-170,200.00
504,Producto D,2024-12-171,250.00
505,Producto E,2024-12-172,300.00
506,Producto F,2024-12-173,350.00
507,Producto G,2024-12-174,400.00
508,Producto H,2024-12-175,450.00
509,Producto I,2024-12-176,500.00
510,Producto J,2024-12-177,550.00
511,Producto A,2024-12-178,100.00
512,Producto B,2024-12-179,150.00
513,Producto C,2024-12-180,200.00
514,Producto D,2024-12-181,250.00
515,Producto E,2024-12-182,300.00
516,Producto F,2024-12-183,350.00
517,Producto G,2024-12-184,400.00
518,Producto H,2024-12-185,450.00
519,Producto I,2024-12-186,500.00
520,Producto J,2024-12-187,550.00
521,Producto A,2024-12-188,100.00
522,Producto B,2024-12-189,150.00
523,Producto C,2024-12-190,200.00
524,Producto D,2024-12-191,250.00
525,Producto E,2024-12-192,300.00
526,Producto F,2024-12-193,350.00
527,Producto G,2024-12-194,400.00
528,Producto H,2024-12-195,450.00
529,Producto I,2024-12-196,500.00
530,Producto J,2024-12-197,550.00
531,Producto A,2024-12-198,100.00
532,Producto B,2024-12-199,150.00
533,Producto C,2024-12-200,200.00
534,Producto D,2024-12-201,250.00
535,Producto E,2024-12-202,300.00
536,Producto F,2024-12-203,350.00
537,Producto G,2024-12-204,400.00
538,Producto H,2024-12-205,450.00
539,Producto I,2024-12-206,500.00
540,Producto J,2024-12-207,550.00
541,Producto A,2024-12-208,100.00
542,Producto B,2024-12-209,150.00
543,Producto C,2024-12-210,200.00
544,Producto D,2024-12-211,250.00
545,Producto E,2024-12-212,300.00
546,Producto F,2024-12-213,350.00
547,Producto G,2024-12-214,400.00
548,Producto H,2024-12-215,450.00
549,Producto I,2024-12-216,500.00
550,Producto J,2024-12-217,550.00
551,Producto A,2024-12-218,100.00
552,Producto B,2024-12-219,150.00
553,Producto C,2024-12-220,200.00
554,Producto D,2024-12-221,250.00
555,Producto E,2024-12-222,300.00
556,Producto F,2024-12-223,350.00
557,Producto G,2024-12-224,400.00
558,Producto H,2024-12-225,450.00
559,Producto I,2024-12-226,500.00
560,Producto J,2024-12-227,550.00
561,Producto A,2024-12-228,100.00
562,Producto B,2024-12-229,150.00
563,Producto C,2024-12-230,200.00
564,Producto D,2024-12-231,250.00
565,Producto E,2024-12-232,300.00
566,Producto F,2024-12-233,350.00
567,Producto G,2024-12-234,400.00
568,Producto H,2024-12-235,450.00
569,Producto I,2024-12-236,500.00
570,Producto J,2024-12-237,550.00
571,Producto A,2024-12-238,100.00
572,Producto B,2024-12-239,150.00
573,Producto C,2024-12-240,200.00
574,Producto D,2024-12-241,250.00
575,Producto E,2024-12-242,300.00
576,Producto F,2024-12-243,350.00
577,Producto G,2024-12-244,400.00
578,Producto H,2024-12-245,450.00
579,Producto I,2024-12-246,500.00
580,Producto J,2024-12-247,550.00
581,Producto A,2024-12-248,100.00
582,Producto B,2024-12-249,150.00
583,Producto C,2024-12-250,200.00
584,Producto D,2024-12-251,250.00
585,Producto E,2024-12-252,300.00
586,Producto F,2024-12-253,350.00
587,Producto G,2024-12-254,400.00
588,Producto H,2024-12-255,450.00
589,Producto I,2024-12-256,500.00
590,Producto J,2024-12-257,550.00
591,Producto A,2024-12-258,100.00
592,Producto B,2024-12-259,150.00
593,Producto C,2024-12-260,200.00
594,Producto D,2024-12-261,250.00
595,Producto E,2024-12-262,300.00
596,Producto F,2024-12-263,350.00
597,Producto G,2024-12-264,400.00
598,Producto H,2024-12-265,450.00
599,Producto I,2024-12-266,500.00
600,Producto J,2024-12-267,550.00

